parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat
"delta[Anggraeni, 2021: LSTM, 7]",-2.10193175304466,0.625111184614654,-3.33624791675818,-2.52288917119225,-2.09630951519273,-1.67559242178189,-0.867572273699464,760.270613384534,2609.13436044006,1.00522670037208
"delta[Anggraeni, 2021: LSTM, 8]",-2.10439368096871,0.629864792771988,-3.36096707273028,-2.53926479757827,-2.09320945046376,-1.68023788328493,-0.884030073358825,749.809934187549,2621.92542118522,1.00445734692494
"delta[Anggraeni, 2021: LSTM, 9]",-2.10323846633419,0.623225186758186,-3.3404003516528,-2.52236555684856,-2.09979922333825,-1.68155860993288,-0.899458877688189,719.455266070855,2349.84929745825,1.00457818549406
"delta[Anggraeni, 2021: LSTM, 10]",-2.0957138619506,0.619966346872098,-3.34020463230079,-2.51152056395749,-2.08302340977146,-1.66762202010376,-0.910115692233722,750.579398107965,2666.47575136166,1.00407085453402
"delta[Anggraeni, 2021: LSTM, 11]",-2.04613307352633,0.618474731196909,-3.25216833424366,-2.4711791688332,-2.04528852126158,-1.62435451787454,-0.846146204695717,743.249488133792,2335.23546888977,1.00464316968757
"delta[Anggraeni, 2021: LSTM, 12]",-2.0075733492876,0.623205578092803,-3.25109635147827,-2.42434953657868,-2.00153872141191,-1.59373667131963,-0.787293787621313,741.719378606537,2540.47403029789,1.00474547726259
"delta[Anggraeni, 2021: LR, 1]",-1.87221604123666,0.633163201085841,-3.13177676198823,-2.29566406606437,-1.86380582379856,-1.44740603994548,-0.635196607703259,776.083103743845,2782.5325079974,1.00455106998311
"delta[Anggraeni, 2021: LR, 2]",-1.8731310657587,0.632132741685965,-3.13218287468196,-2.2957207211892,-1.86534159523877,-1.44377951709682,-0.632764285443634,786.023678491955,2523.40830984521,1.00457414483976
"delta[Anggraeni, 2021: LR, 3]",-1.86574199810623,0.623385266640268,-3.0942531012073,-2.29308185579973,-1.86818937837166,-1.44486997712354,-0.663613561685078,764.716796924974,2428.2444204287,1.00415236231686
"delta[Anggraeni, 2021: LR, 4]",-1.8673876440554,0.631229815015144,-3.10769447075418,-2.29229294457076,-1.87127463526306,-1.43999861179527,-0.625897180498547,748.955236729767,2468.74592294756,1.00434279746587
"delta[Anggraeni, 2021: LR, 5]",-1.85015687912141,0.624865609611635,-3.08582383338886,-2.28184376054714,-1.85035400531878,-1.416287156099,-0.661824776789992,755.705553975715,2592.09330120767,1.00439140196195
