.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
RF,d[RF],0,0,0,0,0,0,0,0,0,0.000125,0.000125,0.000125,0.000375,5e-04,0.000875,0.0015,0.002625,0.004125,0.00675,0.010625,0.01975,0.030875,0.048875,0.070875,0.104125,0.144375,0.19275,0.2485,0.31525,0.38475,0.463875,0.54475,0.6205,0.69775,0.765375,0.827125,0.883125,0.92625,0.959875,0.981,0.992,0.997875,0.99925,1,1,1,1
RNN,d[RNN],0.000375,0.001125,0.0035,0.007625,0.013875,0.020625,0.03275,0.04425,0.057875,0.073625,0.092,0.111125,0.1355,0.157375,0.1835,0.207125,0.240125,0.268125,0.2975,0.331375,0.369,0.40575,0.44425,0.4825,0.521375,0.5585,0.59575,0.6265,0.656,0.685,0.712,0.737875,0.762,0.79075,0.821125,0.846375,0.873625,0.901125,0.925625,0.948875,0.96675,0.9815,0.992375,0.99775,0.999625,1,1
SARIMA,d[SARIMA],0,0,0,0,0,0,0,0.000125,0.00025,0.00025,0.000625,0.001125,0.002625,0.0045,0.006875,0.010625,0.0175,0.02375,0.036625,0.052875,0.07325,0.096875,0.127125,0.16875,0.2125,0.2605,0.3115,0.3645,0.4205,0.47775,0.5345,0.5905,0.648,0.70025,0.75175,0.807625,0.854125,0.900125,0.937875,0.965375,0.982125,0.99175,0.997125,0.999625,1,1,1
SARIMAX,d[SARIMAX],0.002625,0.007375,0.013625,0.021375,0.032625,0.046,0.0585,0.069,0.08375,0.098875,0.11275,0.12675,0.1405,0.155,0.17075,0.18775,0.203875,0.21975,0.237875,0.2585,0.279,0.299125,0.318875,0.341,0.3635,0.386,0.404875,0.42525,0.444375,0.463875,0.4825,0.50425,0.5265,0.55325,0.577875,0.602625,0.635,0.670125,0.705125,0.74875,0.801875,0.852375,0.90625,0.95475,0.989,1,1
SETAR,d[SETAR],0.009125,0.02875,0.053125,0.07775,0.108875,0.14025,0.17325,0.2055,0.235625,0.268,0.299125,0.327625,0.357375,0.387375,0.414125,0.4405,0.468125,0.494125,0.522375,0.552375,0.58,0.61225,0.638125,0.663625,0.689,0.712375,0.73225,0.752,0.76925,0.784875,0.7985,0.814,0.832625,0.848375,0.86475,0.880375,0.89675,0.91475,0.932375,0.948625,0.96475,0.978875,0.9875,0.99675,0.999,1,1
STL,d[STL],0.128625,0.215875,0.267375,0.308375,0.339875,0.366,0.391,0.410375,0.429,0.445,0.461625,0.478375,0.49275,0.508,0.521125,0.53275,0.54575,0.555,0.567625,0.580375,0.591625,0.60825,0.618625,0.632875,0.643125,0.654,0.663625,0.673875,0.68325,0.690125,0.699625,0.708625,0.7185,0.729125,0.743125,0.75525,0.767,0.78325,0.80025,0.819125,0.84125,0.869,0.89925,0.938875,0.9765,0.9995,1
SVM,d[SVM],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000625,0.001125,0.0035,0.006625,0.0115,0.018625,0.03175,0.05275,0.081875,0.122125,0.173,0.24475,0.32375,0.413875,0.51125,0.6075,0.700625,0.77925,0.8515,0.905125,0.947875,0.974875,0.990625,0.995625,0.999,0.999625,0.99975,0.999875,1,1,1
TBATS,d[TBATS],0.006125,0.01725,0.033875,0.054,0.07525,0.098,0.120125,0.143875,0.172375,0.201375,0.227625,0.251625,0.275625,0.30075,0.326375,0.353875,0.379375,0.410125,0.438,0.466625,0.498875,0.527625,0.557875,0.583625,0.611125,0.63475,0.659125,0.68025,0.70275,0.7205,0.73825,0.756125,0.772625,0.7945,0.815,0.835625,0.856875,0.876875,0.899625,0.923,0.945125,0.966625,0.98175,0.991125,0.99775,1,1
TCNX,d[TCNX],0.000125,0.000125,0.000125,0.000125,0.000375,0.00075,0.0015,0.002,0.003125,0.003625,0.004375,0.006,0.006875,0.008375,0.01075,0.013125,0.015,0.017125,0.01975,0.022875,0.0275,0.0325,0.038,0.0455,0.051375,0.059125,0.0665,0.074,0.082,0.090875,0.099375,0.11175,0.12375,0.136625,0.150625,0.165375,0.187125,0.211625,0.246875,0.29525,0.36425,0.45675,0.589125,0.749625,0.913875,0.99975,1
Theta,d[Theta],0.024375,0.064125,0.113375,0.16,0.21,0.259375,0.3035,0.353,0.394875,0.434125,0.470375,0.505875,0.53625,0.566625,0.595875,0.62425,0.649875,0.678625,0.70525,0.73125,0.754875,0.778125,0.799625,0.815875,0.8325,0.848,0.86225,0.874375,0.884875,0.8955,0.905375,0.914625,0.923625,0.931375,0.941125,0.952625,0.96125,0.969875,0.97575,0.984,0.9895,0.99425,0.997,0.99925,0.99975,1,1
Transformer,d[Transformer],5e-04,0.00225,0.006375,0.016375,0.032625,0.057875,0.089875,0.12625,0.165875,0.20775,0.248875,0.290625,0.3345,0.379,0.425125,0.468875,0.51475,0.564,0.612625,0.66425,0.713125,0.756625,0.792625,0.82825,0.859625,0.886875,0.909,0.9275,0.942375,0.955,0.96275,0.969125,0.9745,0.981375,0.98575,0.989625,0.992375,0.994625,0.996625,0.9985,0.99925,0.999625,1,1,1,1,1
TransformersX,d[TransformersX],0.001,0.002625,0.0055,0.00925,0.0145,0.019875,0.0265,0.034125,0.044125,0.053125,0.06275,0.072625,0.082125,0.09325,0.10775,0.12075,0.136,0.15175,0.167875,0.187125,0.205,0.227625,0.250875,0.2725,0.296,0.31875,0.344375,0.3685,0.389,0.409625,0.430625,0.4515,0.472625,0.499375,0.526875,0.55975,0.593375,0.635,0.681,0.729375,0.784875,0.850125,0.90525,0.957875,0.989625,1,1
VAR,d[VAR],0.0265,0.110625,0.229125,0.3685,0.496125,0.620375,0.71425,0.783,0.8385,0.88175,0.910625,0.934625,0.951375,0.963875,0.972,0.980375,0.986875,0.99025,0.99225,0.9945,0.997,0.997875,0.99875,0.999125,0.999625,0.999875,0.999875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XGBoost,d[XGBoost],0,0,0,0,0,0.00025,0.000375,0.000625,0.001375,0.002375,0.002875,0.005125,0.007625,0.011,0.015875,0.023,0.029,0.041,0.05475,0.072625,0.093625,0.1185,0.14825,0.183875,0.2215,0.260625,0.300625,0.34075,0.38325,0.426,0.47125,0.51625,0.56225,0.609875,0.6655,0.71725,0.770875,0.820625,0.868375,0.91375,0.94825,0.974875,0.9895,0.996625,0.999375,1,1
